date_excel;month;year;day;date;population;vaccination;dose1;dose2;dose1_cum;dose2_cum;vaccination_cum;infections_stadt;infections_lkr;immune_infect;immune_vac;immune;
44192;12;2020;27;2020-12-27;249790;214,625;214,625;0;214,625;0;214,625;9;9;5491;;5491;
44193;12;2020;28;2020-12-28;249790;214,625;214,625;0;429,25;0;429,25;16;20;5491;;5491;
44194;12;2020;29;2020-12-29;249790;214,625;214,625;0;643,875;0;643,875;25;81;5491;;5491;
44195;12;2020;30;2020-12-30;249790;214,625;214,625;0;858,5;0;858,5;23;70;5491;;5491;
44196;12;2020;31;2020-12-31;249790;214,625;214,625;0;1073,125;0;1073,125;25;49;5491;;5491;
44197;1;2021;1;2021-1-1;249790;214,625;214,625;0;1287,75;0;1287,75;11;13;5491;;5491;
44198;1;2021;2;2021-1-2;249790;214,625;214,625;0;1502,375;0;1502,375;12;22;5491;;5491;
44199;1;2021;3;2021-1-3;249790;214,625;214,625;0;1717;0;1717;9;9;5491;;5491;
44200;1;2021;4;2021-1-4;249790;207,2857143;207,2857143;0;1924,285714;0;1924,285714;10;11;5491;;5491;
44201;1;2021;5;2021-1-5;249790;207,2857143;207,2857143;0;2131,571429;0;2131,571429;20;38;5491;;5491;
44202;1;2021;6;2021-1-6;249790;207,2857143;207,2857143;0;2338,857143;0;2338,857143;9;26;5491;;5491;
44203;1;2021;7;2021-1-7;249790;207,2857143;207,2857143;0;2546,142857;0;2546,142857;24;37;5491;;5491;
44204;1;2021;8;2021-1-8;249790;207,2857143;207,2857143;0;2753,428571;0;2753,428571;14;22;5491;;5491;
44205;1;2021;9;2021-1-9;249790;207,2857143;207,2857143;0;2960,714286;0;2960,714286;14;13;5491;;5491;
44206;1;2021;10;2021-1-10;249790;207,2857143;207,2857143;0;3168;0;3168;19;31;5491;;5491;
44207;1;2021;11;2021-1-11;249790;389,5714286;389,5714286;0;3557,571429;0;3557,571429;15;21;5491;;5491;
44208;1;2021;12;2021-1-12;249790;389,5714286;389,5714286;0;3947,142857;0;3947,142857;21;31;5491;;5491;
44209;1;2021;13;2021-1-13;249790;389,5714286;389,5714286;0;4336,714286;0;4336,714286;19;35;5491;;5491;
44210;1;2021;14;2021-1-14;249790;389,5714286;389,5714286;0;4726,285714;0;4726,285714;30;35;5491;;5491;
44211;1;2021;15;2021-1-15;249790;389,5714286;389,5714286;0;5115,857143;0;5115,857143;;;5491;;5491;
44212;1;2021;16;2021-1-16;249790;389,5714286;389,5714286;0;5505,428571;0;5505,428571;;;5491;;5491;
44213;1;2021;17;2021-1-17;249790;389,5714286;174,9464286;214,625;5680,375;214,625;5895;;;5491;;5491;
44214;1;2021;18;2021-1-18;249790;;;214,625;5680,375;429,25;5895;;;5491;;5491;
44215;1;2021;19;2021-1-19;249790;;;214,625;5680,375;643,875;5895;;;5491;;5491;
44216;1;2021;20;2021-1-20;249790;;;214,625;5680,375;858,5;5895;;;5491;;5491;
44217;1;2021;21;2021-1-21;249790;;;214,625;5680,375;1073,125;5895;;;5491;;5491;
44218;1;2021;22;2021-1-22;249790;;;207,2857143;5680,375;1280,410714;5895;;;5491;;5491;
44219;1;2021;23;2021-1-23;249790;;;207,2857143;5680,375;1487,696429;5895;;;5491;;5491;
44220;1;2021;24;2021-1-24;249790;;;207,2857143;5680,375;1694,982143;5895;;;5491;215;5705,625;
44221;1;2021;25;2021-1-25;249790;;;207,2857143;5680,375;1902,267857;5895;;;5491;429;5920,25;
44222;1;2021;26;2021-1-26;249790;;;207,2857143;5680,375;2109,553571;5895;;;5491;644;6134,875;
44223;1;2021;27;2021-1-27;249790;;;207,2857143;5680,375;2316,839286;5895;;;5491;859;6349,5;
44224;1;2021;28;2021-1-28;249790;;;207,2857143;5680,375;2524,125;5895;;;5491;1073;6564,125;
44225;1;2021;29;2021-1-29;249790;;;389,5714286;5680,375;2913,696429;5895;;;5491;1280;6771,410714;
44226;1;2021;30;2021-1-30;249790;;;389,5714286;5680,375;3303,267857;5895;;;5491;1488;6978,696429;
44227;1;2021;31;2021-1-31;249790;;;389,5714286;5680,375;3692,839286;5895;;;5491;1695;7185,982143;
44228;2;2021;1;2021-2-1;249790;;;389,5714286;5680,375;4082,410714;5895;;;5491;1902;7393,267857;
44229;2;2021;2;2021-2-2;249790;;;389,5714286;5680,375;4471,982143;5895;;;5491;2110;7600,553571;
44230;2;2021;3;2021-2-3;249790;;;389,5714286;5680,375;4861,553571;5895;;;5491;2317;7807,839286;
44231;2;2021;4;2021-2-4;249790;;;389,5714286;5680,375;5251,125;5895;;;5491;2524;8015,125;
44232;2;2021;5;2021-2-5;249790;;;;5680,375;5251,125;5895;;;5491;2914;8404,696429;
44233;2;2021;6;2021-2-6;249790;;;;5680,375;5251,125;5895;;;5491;3303;8794,267857;
44234;2;2021;7;2021-2-7;249790;;;;5680,375;5251,125;5895;;;5491;3693;9183,839286;
44235;2;2021;8;2021-2-8;249790;;;;5680,375;5251,125;5895;;;5491;4082;9573,410714;
44236;2;2021;9;2021-2-9;249790;;;;5680,375;5251,125;5895;;;5491;4472;9962,982143;
44237;2;2021;10;2021-2-10;249790;;;;5680,375;5251,125;5895;;;5491;4862;10352,55357;
44238;2;2021;11;2021-2-11;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44239;2;2021;12;2021-2-12;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44240;2;2021;13;2021-2-13;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44241;2;2021;14;2021-2-14;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44242;2;2021;15;2021-2-15;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44243;2;2021;16;2021-2-16;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44244;2;2021;17;2021-2-17;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44245;2;2021;18;2021-2-18;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44246;2;2021;19;2021-2-19;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44247;2;2021;20;2021-2-20;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44248;2;2021;21;2021-2-21;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44249;2;2021;22;2021-2-22;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44250;2;2021;23;2021-2-23;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44251;2;2021;24;2021-2-24;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44252;2;2021;25;2021-2-25;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44253;2;2021;26;2021-2-26;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44254;2;2021;27;2021-2-27;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44255;2;2021;28;2021-2-28;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44256;3;2021;1;2021-3-1;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44257;3;2021;2;2021-3-2;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44258;3;2021;3;2021-3-3;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44259;3;2021;4;2021-3-4;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44260;3;2021;5;2021-3-5;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44261;3;2021;6;2021-3-6;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44262;3;2021;7;2021-3-7;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44263;3;2021;8;2021-3-8;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44264;3;2021;9;2021-3-9;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44265;3;2021;10;2021-3-10;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44266;3;2021;11;2021-3-11;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44267;3;2021;12;2021-3-12;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44268;3;2021;13;2021-3-13;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44269;3;2021;14;2021-3-14;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44270;3;2021;15;2021-3-15;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44271;3;2021;16;2021-3-16;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44272;3;2021;17;2021-3-17;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44273;3;2021;18;2021-3-18;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44274;3;2021;19;2021-3-19;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44275;3;2021;20;2021-3-20;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44276;3;2021;21;2021-3-21;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44277;3;2021;22;2021-3-22;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44278;3;2021;23;2021-3-23;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44279;3;2021;24;2021-3-24;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44280;3;2021;25;2021-3-25;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44281;3;2021;26;2021-3-26;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44282;3;2021;27;2021-3-27;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44283;3;2021;28;2021-3-28;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44284;3;2021;29;2021-3-29;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44285;3;2021;30;2021-3-30;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44286;3;2021;31;2021-3-31;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44287;4;2021;1;2021-4-1;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44288;4;2021;2;2021-4-2;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44289;4;2021;3;2021-4-3;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44290;4;2021;4;2021-4-4;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44291;4;2021;5;2021-4-5;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44292;4;2021;6;2021-4-6;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44293;4;2021;7;2021-4-7;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44294;4;2021;8;2021-4-8;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44295;4;2021;9;2021-4-9;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44296;4;2021;10;2021-4-10;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44297;4;2021;11;2021-4-11;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44298;4;2021;12;2021-4-12;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44299;4;2021;13;2021-4-13;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44300;4;2021;14;2021-4-14;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44301;4;2021;15;2021-4-15;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44302;4;2021;16;2021-4-16;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44303;4;2021;17;2021-4-17;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44304;4;2021;18;2021-4-18;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44305;4;2021;19;2021-4-19;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44306;4;2021;20;2021-4-20;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44307;4;2021;21;2021-4-21;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44308;4;2021;22;2021-4-22;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44309;4;2021;23;2021-4-23;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44310;4;2021;24;2021-4-24;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44311;4;2021;25;2021-4-25;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44312;4;2021;26;2021-4-26;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44313;4;2021;27;2021-4-27;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44314;4;2021;28;2021-4-28;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44315;4;2021;29;2021-4-29;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44316;4;2021;30;2021-4-30;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44317;5;2021;1;2021-5-1;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44318;5;2021;2;2021-5-2;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44319;5;2021;3;2021-5-3;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44320;5;2021;4;2021-5-4;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44321;5;2021;5;2021-5-5;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44322;5;2021;6;2021-5-6;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44323;5;2021;7;2021-5-7;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44324;5;2021;8;2021-5-8;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44325;5;2021;9;2021-5-9;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44326;5;2021;10;2021-5-10;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44327;5;2021;11;2021-5-11;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44328;5;2021;12;2021-5-12;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44329;5;2021;13;2021-5-13;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44330;5;2021;14;2021-5-14;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44331;5;2021;15;2021-5-15;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44332;5;2021;16;2021-5-16;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44333;5;2021;17;2021-5-17;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44334;5;2021;18;2021-5-18;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44335;5;2021;19;2021-5-19;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44336;5;2021;20;2021-5-20;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44337;5;2021;21;2021-5-21;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44338;5;2021;22;2021-5-22;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44339;5;2021;23;2021-5-23;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44340;5;2021;24;2021-5-24;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44341;5;2021;25;2021-5-25;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44342;5;2021;26;2021-5-26;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44343;5;2021;27;2021-5-27;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44344;5;2021;28;2021-5-28;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44345;5;2021;29;2021-5-29;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44346;5;2021;30;2021-5-30;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44347;5;2021;31;2021-5-31;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44348;6;2021;1;2021-6-1;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44349;6;2021;2;2021-6-2;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44350;6;2021;3;2021-6-3;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44351;6;2021;4;2021-6-4;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44352;6;2021;5;2021-6-5;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44353;6;2021;6;2021-6-6;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44354;6;2021;7;2021-6-7;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44355;6;2021;8;2021-6-8;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44356;6;2021;9;2021-6-9;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44357;6;2021;10;2021-6-10;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44358;6;2021;11;2021-6-11;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44359;6;2021;12;2021-6-12;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44360;6;2021;13;2021-6-13;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44361;6;2021;14;2021-6-14;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44362;6;2021;15;2021-6-15;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44363;6;2021;16;2021-6-16;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44364;6;2021;17;2021-6-17;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44365;6;2021;18;2021-6-18;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44366;6;2021;19;2021-6-19;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44367;6;2021;20;2021-6-20;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44368;6;2021;21;2021-6-21;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44369;6;2021;22;2021-6-22;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44370;6;2021;23;2021-6-23;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44371;6;2021;24;2021-6-24;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44372;6;2021;25;2021-6-25;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44373;6;2021;26;2021-6-26;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
